,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1
phpGReJjU,12228.0,1.0,1.0,1.0,1.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
phpN4gaxw,13156.0,0.9324324324324325,0.9325885310340062,0.9324324324324325,0.9324023591067805,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0885405771893914]",0.9324324324324325,0.0,0.9325885310340062,0.0,0.9324324324324325,0.0,0.9324023591067805,0.0,
phpSZJq5T,13122.0,0.8888888888888888,0.8994668911335578,0.8888888888888888,0.8903413217138707,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 189, -K, 0, -depth, 0]",0.8888888888888888,0.0,0.8994668911335578,0.0,0.8888888888888888,0.0,0.8903413217138707,0.0,
phpVeNa5j,12376.0,0.9941348973607037,0.9941681433890326,0.9941348973607038,0.9941305571736944,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 56, -I, 40, -S, 1, -W, weka.classifiers.trees.RandomTree, --, -M, 40, -K, 23, -depth, 0, -N, 0, -U]",0.9941348973607037,0.0,0.9941681433890326,0.0,0.9941348973607038,0.0,0.9941305571736944,0.0,
phpYLeydd,12661.0,0.6577561765897124,0.6544331492704426,0.6577561765897124,0.6524026129435856,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 56, -I, 118, -S, 1, -W, weka.classifiers.trees.J48, --, -J, -A, -M, 6, -C, 0.2814136752665706]",0.6577561765897124,0.0,0.6544331492704426,0.0,0.6577561765897124,0.0,0.6524026129435856,0.0,
phpZrCzJR,13687.0,0.9921568627450981,0.9917189550451413,0.9921568627450981,0.9912466099317311,"best classifier: weka.classifiers.rules.OneR
arguments: [-B, 2]",0.9921568627450981,0.0,0.9917189550451413,0.0,0.9921568627450981,0.0,0.9912466099317311,0.0,
phpbL6t4U,13670.0,0.9910868315123635,0.9910933639203295,0.9910868315123634,0.9910795512667594,"best classifier: weka.classifiers.meta.AdaBoostM1
arguments: [-P, 100, -I, 10, -Q, -S, 1, -W, weka.classifiers.trees.RandomForest, --, -I, 43, -K, 0, -depth, 20]",0.9910868315123635,0.0,0.9910933639203295,0.0,0.9910868315123634,0.0,0.9910795512667594,0.0,
phpchCuL5,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Failed to prepare the experiment
phpdReP6S,14006.0,0.9337539432176656,0.9129505725886267,0.9337539432176656,0.9108843685412814,"best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.9016538469375728, -M, 0.36063042122350475, -H, a, -R, -D, -S, 1]",0.9337539432176656,0.0,0.9129505725886267,0.0,0.9337539432176656,0.0,0.9108843685412814,0.0,
phpfLuQE4,12176.0,0.8046153846153846,0.808086832228419,0.8046153846153846,0.8045150215873922,"best classifier: weka.classifiers.lazy.IBk
arguments: [-E, -K, 6, -I]",0.8046153846153846,0.0,0.808086832228419,0.0,0.8046153846153846,0.0,0.8045150215873922,0.0,
phpfrJpBS,12356.0,0.9246913580246914,0.9270123738477306,0.9246913580246914,0.9255428892325812,"best classifier: weka.classifiers.meta.RandomCommittee
arguments: [-I, 51, -S, 1, -W, weka.classifiers.trees.RandomTree, --, -M, 1, -K, 0, -depth, 18, -N, 0, -U]",0.9246913580246914,0.0,0.9270123738477306,0.0,0.9246913580246914,0.0,0.9255428892325812,0.0,
phpkIxskf,12434.0,0.9045386180660002,0.8935357481350367,0.9045386180660002,0.8959663041064818,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 239, -K, 0, -depth, 13]",0.9045386180660002,0.0,0.8935357481350367,0.0,0.9045386180660002,0.0,0.8959663041064818,0.0,
phpmPOD5A,13255.0,0.9454412303185645,0.9382039533018062,0.9454412303185646,0.9409624765049189,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.9454412303185645,0.0,0.9382039533018062,0.0,0.9454412303185646,0.0,0.9409624765049189,0.0,
phpn1jVwe,12446.0,0.9792560801144492,0.9764086036966763,0.9792560801144492,0.9770403644769667,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 159, -K, 26, -depth, 0]",0.9792560801144492,0.0,0.9764086036966763,0.0,0.9792560801144492,0.0,0.9770403644769667,0.0,
phpxijhaP,12781.0,0.9827027027027028,0.9827585224659067,0.9827027027027027,0.9827018940030403,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 60, -P, 0.76039171307111, -S, 1, -W, weka.classifiers.functions.SGD, --, -F, 0, -L, 3.703221577563114E-4, -R, 0.002681870318461881, -M]",0.9827027027027028,0.0,0.9827585224659067,0.0,0.9827027027027027,0.0,0.9827018940030403,0.0,
