,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,error_2,time_2,error_3,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,accuracy_2,precision_2,recall_2,f1score_2,model_2,error_1
AP_Breast_Lung,648.1021957397461,0.711864406779661,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fd64125f2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,637.4388394355774,,634.1622240543365,0.711864406779661,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f0f161332f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711864406779661,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
AirlinesCodrnaAdult,660.0012862682343,,,,,,A pipeline has not yet been optimized. Please call fit() first.,660.001469373703,A pipeline has not yet been optimized. Please call fit() first.,660.0011022090912,,,,,,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
MagicTelescope,659.1054239273071,0.6601472134595163,0.9772727272727273,0.025934861278648975,0.05052878965922444,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",A pipeline has not yet been optimized. Please call fit() first.,660.0010411739349,Timeout,660.0010588169098,0.6601472134595163,0.9772727272727273,0.025934861278648975,0.05052878965922444,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.6601472134595163,0.0,0.9772727272727273,0.0,0.025934861278648975,0.0,0.05052878965922444,0.0,,,,,,
arrhythmia,600.5993218421936,0.5486725663716814,0.5486725663716814,1.0,0.7085714285714285,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,600.7808005809784,,601.8947861194611,0.5486725663716814,0.5486725663716814,1.0,0.7085714285714285,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5486725663716814,0.0,0.5486725663716814,0.0,1.0,0.0,0.7085714285714285,0.0,0.5486725663716814,0.5486725663716814,1.0,0.7085714285714285,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f50efe9d2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
audiology,600.7929928302765,0.7719298245614035,1.0,0.3157894736842105,0.4799999999999999,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,600.4030463695526,,601.0688076019287,0.7719298245614035,1.0,0.3157894736842105,0.4799999999999999,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f248662e2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.7719298245614036,1.1102230246251565e-16,1.0,0.0,0.3157894736842105,0.0,0.4799999999999999,0.0,0.7719298245614035,1.0,0.3157894736842105,0.4799999999999999,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fd8488f22f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
dataset_31_credit-g,601.0720684528351,0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,600.952157497406,,602.7552971839905,0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fbcd63f12f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.7040000000000001,1.1102230246251565e-16,0.7040000000000001,1.1102230246251565e-16,1.0,0.0,0.8262910798122065,0.0,0.704,0.704,1.0,0.8262910798122065,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
electricity-normalized,660.0011084079742,,,,,,A pipeline has not yet been optimized. Please call fit() first.,660.0011327266693,A pipeline has not yet been optimized. Please call fit() first.,660.0011909008026,,,,,,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
gina_agnostic,660.0011048316956,,,,,,A pipeline has not yet been optimized. Please call fit() first.,660.0012547969818,,638.9379880428314,0.5271049596309112,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.5271049596309112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,A pipeline has not yet been optimized. Please call fit() first.
hiva_agnostic,638.28875041008,0.9612476370510397,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,639.2474744319916,This SVC instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.,660.0012094974518,,,,,,0.9612476370510397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9612476370510397,0.0,0.0,0.0,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
openml_phpJNxH0q,600.4076025485992,0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,600.3517637252808,,600.2631957530975,0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f21e30412f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.96,0.0,0.890625,0.0,1.0,0.0,0.9421487603305785,0.0,0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
phprAeXmK,660.0012476444244,,,,,,A pipeline has not yet been optimized. Please call fit() first.,660.0011529922485,A pipeline has not yet been optimized. Please call fit() first.,660.0011372566223,,,,,,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
vowel,600.3022704124451,0.9959677419354839,0.9545454545454546,1.0,0.9767441860465117,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",,600.4580554962158,,600.4904553890228,0.9959677419354839,0.9545454545454546,1.0,0.9767441860465117,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9959677419354839,0.0,0.9545454545454546,0.0,1.0,0.0,0.9767441860465117,0.0,0.9959677419354839,0.9545454545454546,1.0,0.9767441860465117,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",
